epoch,train_loss,val_loss,train_dpos,train_dneg,train_viol,val_dpos,val_dneg,val_viol,recall_at_1
1,0.014264,0.000186,,,,,,,
2,0.001180,0.000232,,,,,,,
3,0.000639,0.000160,,,,,,,
4,0.000478,0.000334,,,,,,,
5,0.000336,0.000467,,,,,,,
6,0.000478,0.000248,,,,,,,
7,0.000096,0.000027,,,,,,,
8,0.000139,0.000021,,,,,,,
9,0.000138,0.000000,,,,,,,
10,0.000090,0.000030,,,,,,,
11,0.000105,0.000078,,,,,,,
12,0.000140,0.000002,,,,,,,
13,0.000043,0.000000,,,,,,,
14,0.000166,0.000017,,,,,,,
final_summary,0.000166,0.000017,,,,0.110732,1.210484,0.001000,1.000000
